"Id","Age","Job","Marital","Education","Default","Balance","HHInsurance","CarLoan","Communication","LastContactDay","LastContactMonth","NoOfContacts","DaysPassed","PrevAttempts","Outcome","CallStart","CallEnd","CarInsurance"
1,32,"management","single","tertiary",0,1218,1,0,"telephone",28,"jan",2,-1,0,NA,"13:45:20","13:46:30",0
2,32,"blue-collar","married","primary",0,1156,1,0,NA,26,"may",5,-1,0,NA,"14:49:03","14:52:08",0
3,29,"management","single","tertiary",0,637,1,0,"cellular",3,"jun",1,119,1,"failure","16:30:24","16:36:04",1
4,25,"student","single","primary",0,373,1,0,"cellular",11,"may",2,-1,0,NA,"12:06:43","12:20:22",1
5,30,"management","married","tertiary",0,2694,0,0,"cellular",3,"jun",1,-1,0,NA,"14:35:44","14:38:56",0
6,32,"technician","single","tertiary",0,1625,0,0,"cellular",22,"may",1,109,1,"failure","14:58:08","15:11:24",1
7,37,"admin.","single","tertiary",0,1000,1,0,"cellular",17,"mar",1,-1,0,NA,"13:00:02","13:03:17",1
8,35,"management","divorced","tertiary",0,538,1,0,NA,12,"may",4,-1,0,NA,"15:39:43","15:40:49",0
9,30,"admin.","married","secondary",0,187,1,0,"cellular",18,"nov",1,-1,0,NA,"12:20:56","12:22:42",0
10,30,"blue-collar","married","secondary",0,3,1,1,"cellular",12,"may",2,-1,0,NA,"09:22:20","09:27:46",0
11,27,"services","single","secondary",0,0,0,0,"cellular",1,"jun",1,-1,0,NA,"13:04:28","13:07:29",0
12,53,"blue-collar","married","primary",1,-462,0,0,"cellular",29,"jan",1,-1,0,NA,"16:45:50","16:53:40",1
13,44,"technician","married","secondary",0,2776,1,0,"cellular",27,"jan",1,-1,0,NA,"16:19:41","16:31:22",1
14,38,"self-employed","divorced","secondary",0,2674,1,0,NA,19,"jun",2,-1,0,NA,"10:29:56","10:32:39",0
15,25,"services","single",NA,0,2022,0,0,"cellular",29,"jul",8,97,12,"other","14:15:09","14:19:45",1
16,61,"management","single","tertiary",0,2,0,0,"cellular",12,"aug",1,114,3,"failure","16:18:48","16:20:59",1
17,34,"admin.","single","secondary",0,69,1,0,"telephone",6,"may",3,362,4,"other","11:48:45","11:50:17",0
18,46,"management","married","tertiary",0,7331,0,0,"cellular",11,"sep",4,95,2,"other","11:23:26","11:34:24",1
19,49,"blue-collar","married","secondary",0,2039,1,0,"cellular",6,"may",1,169,2,"failure","12:42:54","12:50:25",1
20,50,"blue-collar","married","primary",0,82,0,0,"telephone",5,"apr",1,-1,0,NA,"10:34:08","10:41:44",1
21,57,"blue-collar","married","secondary",0,773,1,1,NA,18,"jun",8,-1,0,NA,"09:05:50","09:07:27",0
22,80,"retired","married","secondary",0,8304,0,0,"telephone",8,"sep",3,91,13,"success","17:37:41","17:47:47",1
23,31,"management","single","tertiary",0,0,0,0,"cellular",21,"aug",2,-1,0,NA,"14:28:54","14:32:32",0
24,63,"retired","married","secondary",0,2896,0,0,"cellular",1,"jul",1,119,2,"success","15:37:19","15:42:23",1
25,60,"technician","married","secondary",0,824,1,0,"cellular",9,"feb",1,558,7,"other","16:30:52","16:32:59",1
26,29,"management","married","tertiary",0,900,0,0,"cellular",17,"jul",2,-1,0,NA,"17:06:47","17:11:22",0
27,54,"management","married","primary",0,3859,0,1,"cellular",20,"nov",3,-1,0,NA,"10:09:02","10:10:46",0
28,45,NA,"divorced",NA,0,0,0,0,"cellular",21,"apr",3,-1,0,NA,"12:33:22","12:38:00",1
29,34,"services","married","secondary",0,-62,1,0,NA,16,"jun",3,-1,0,NA,"13:50:40","13:52:29",0
30,42,"blue-collar","married","primary",0,832,0,0,NA,20,"jun",14,-1,0,NA,"10:36:52","10:37:05",0
31,54,"technician","married","secondary",0,0,0,0,"telephone",30,"apr",3,84,3,"success","11:49:24","12:02:10",1
32,32,"admin.","single","secondary",0,6981,1,0,"cellular",2,"jun",1,194,3,"failure","10:23:34","10:26:08",0
33,57,"retired","single","tertiary",0,842,0,0,"cellular",13,"aug",3,-1,0,NA,"10:56:13","11:00:57",1
34,36,"management","divorced","tertiary",0,1057,0,0,"cellular",5,"feb",2,-1,0,NA,"15:36:06","15:42:29",0
35,34,"blue-collar","single","secondary",0,1698,1,0,NA,27,"may",7,-1,0,NA,"13:48:54","13:49:33",0
36,39,"blue-collar","married","secondary",0,300,1,0,"cellular",14,"may",1,-1,0,NA,"14:50:44","14:59:10",0
37,31,"blue-collar","married","secondary",0,664,1,1,NA,21,"may",3,-1,0,NA,"11:03:37","11:20:04",0
38,33,"admin.","married","secondary",0,0,1,0,"cellular",30,"jul",5,-1,0,NA,"15:55:55","15:56:36",0
39,41,"blue-collar","divorced","primary",0,138,1,0,"cellular",18,"jul",3,-1,0,NA,"13:13:21","13:24:01",1
40,35,"admin.","married","secondary",0,216,1,1,"cellular",17,"nov",3,-1,0,NA,"15:33:58","15:35:08",0
41,32,"management","married","secondary",0,3935,1,0,NA,29,"may",2,-1,0,NA,"17:09:51","17:12:00",0
42,40,"blue-collar","married","secondary",0,327,1,0,NA,29,"may",1,-1,0,NA,"11:29:28","11:31:42",0
43,35,"management","single","tertiary",0,2707,0,0,"cellular",5,"feb",1,-1,0,NA,"09:23:59","09:35:38",1
44,40,"admin.","married","secondary",0,2574,1,0,"cellular",15,"may",1,176,1,"failure","10:50:44","10:57:56",1
45,60,"management","married","tertiary",0,70,0,0,"cellular",21,"aug",1,-1,0,NA,"11:15:10","11:15:46",0
46,35,"blue-collar","single","secondary",0,0,1,0,NA,3,"jun",3,-1,0,NA,"16:20:13","16:22:06",0
47,42,"management","divorced","secondary",0,283,1,0,"cellular",23,"jul",1,-1,0,NA,"12:00:12","12:12:53",1
48,79,"retired","divorced","primary",0,79,0,0,"cellular",9,"oct",2,-1,0,NA,"16:23:38","16:42:04",1
49,46,"admin.","single","secondary",0,13,0,0,NA,2,"jun",4,-1,0,NA,"17:02:45","17:03:56",0
50,33,"technician","divorced","secondary",0,464,0,0,"cellular",4,"feb",4,-1,0,NA,"09:31:15","09:34:42",0
51,54,"services","divorced",NA,0,0,1,0,"cellular",16,"apr",1,-1,0,NA,"16:18:17","16:22:40",0
52,46,"housemaid","married","primary",0,17,0,0,NA,17,"jun",1,-1,0,NA,"10:33:05","10:34:17",0
53,47,"self-employed","married","secondary",0,4420,1,1,"cellular",20,"nov",1,-1,0,NA,"13:17:32","13:25:06",1
54,78,"retired","married",NA,0,3208,0,0,"telephone",20,"may",3,-1,0,NA,"16:00:27","16:06:18",1
55,31,"blue-collar","married","secondary",0,326,0,1,"cellular",29,"jan",1,-1,0,NA,"09:59:19","10:01:23",0
